City,Region,Founded,Population,URL,Longitude,Latitude
Swansea,Wales,1969,239023,https://en.wikipedia.org//wiki/Swansea,-3.95,51.617
Truro,South West,1877,18766,https://en.wikipedia.org//wiki/Truro,-5.051,50.26
Wakefield,Yorkshire and the Humber,1888,325837,https://en.wikipedia.org//wiki/City_of_Wakefield,-1.499,53.683
Wells,South West,nan,10536,"https://en.wikipedia.org//wiki/Wells,_Somerset",-2.645,51.20944
Westminster,London,1540,219396,https://en.wikipedia.org//wiki/City_of_Westminster,-0.16333,51.51222
Winchester,South East,nan,116595,https://en.wikipedia.org//wiki/City_of_Winchester,-1.317,51.062
Wolverhampton,West Midlands,2001,249470,https://en.wikipedia.org//wiki/Wolverhampton,-2.133,52.583
Worcester,West Midlands,nan,98768,"https://en.wikipedia.org//wiki/Worcester,_England",-2.22,52.192
"Wrexham, Wrecsam",Wales,2022,134844,https://en.wikipedia.org//wiki/Wrexham_County_Borough,-3.0,53.05
York,Yorkshire and the Humber,nan,198051,https://en.wikipedia.org//wiki/City_of_York,-1.08028,53.95833
