City,Population,Latitude,Longitude
Perth,45770,56.39583,-3.43333
Armagh,14777,54.3499,-6.6546
Dundee,147268,56.462,-2.9707
Colchester,194706,51.88861,0.90361
Salisbury,40302,51.07,-1.79
Portsmouth,205056,50.80583,-1.08722
Wakefield,325837,53.683,-1.499
Bradford,522452,53.792,-1.754
Lancaster,138375,54.047,-2.801
Bangor,18808,53.228,-4.128
